149
N;12345678;12;1;5,25
N;59393214;15;2;0,45
N;63356014;12;1;5,25
N;74367042;13;1;2,51
N;85983916;14;1;0,25
N;64248702;15;1;0,45
N;87215104;13;1;2,51
N;59039485;14;1;0,25
N;86252655;15;1;0,45
N;48128931;13;1;2,51
N;66120732;14;1;0,25
N;68130469;15;1;0,45
N;44594353;13;1;2,51
N;49382848;14;1;0,25
N;36778114;15;1;0,45
N;90259569;13;1;2,51
N;15104167;14;1;0,25
N;96729647;15;1;0,45
N;59393214;12;1;5,25
N;63356014;12;1;5,25
N;74367042;12;1;5,25
N;85983916;12;1;5,25
N;64248702;12;1;5,25
N;87215104;12;1;5,25
N;59039485;12;1;5,25
N;86252655;12;1;5,25
N;48128931;12;1;5,25
N;66120732;12;1;5,25
N;68130469;12;1;5,25
N;44594353;12;1;5,25
N;49382848;12;1;5,25
N;59393214;12;5;5,25
N;63356014;12;5;5,25
N;74367042;12;5;5,25
N;85983916;14;1;0,25
N;64248702;15;1;0,45
N;87215104;14;1;0,25
N;59039485;15;1;0,45
N;86252655;14;1;0,25
N;48128931;15;1;0,45
N;66120732;14;1;0,25
N;68130469;15;1;0,45
N;44594353;14;1;0,25
N;49382848;15;1;0,45
N;36778114;13;2;2,51
N;90259569;15;1;0,45
N;15104167;13;2;2,51
N;96729647;15;1;0,45
N;34539066;13;2;2,51
N;44509736;15;1;0,45
N;52989859;13;2;2,51
N;59393214;12;5;5,25
N;63356014;12;0;5,25
N;74367042;12;0;5,25
N;85983916;12;0;5,25
N;64248702;12;0;5,25
N;59393214;12;1;5,25
N;59393214;12;5;5,25
N;63356014;12;5;5,25
N;74367042;12;5;5,25
N;85983916;12;5;5,25
N;64248702;12;5;5,25
N;87215104;12;5;5,25
N;59039485;12;1;5,25
N;86252655;12;1;5,25
N;48128931;12;1;5,25
N;66120732;12;1;5,25
N;68130469;12;1;5,25
N;44594353;12;1;5,25
N;49382848;12;1;5,25
N;36778114;12;1;5,25
N;59393214;15;2;0,45
N;63356014;15;2;0,45
N;59393214;15;50;0,45
N;63356014;13;1;2,51
N;74367042;14;1;0,25
N;59393214;14;1;0,25
N;63356014;14;1;0,25
N;74367042;14;1;0,25
N;85983916;14;1;0,25
N;64248702;12;1;5,25
N;87215104;13;1;2,51
N;59039485;14;1;0,25
N;86252655;14;1;0,25
N;48128931;15;1;0,45
N;66120732;12;1;5,25
N;68130469;13;1;2,51
N;44594353;14;1;0,25
N;49382848;15;1;0,45
N;36778114;12;1;5,25
N;90259569;13;1;2,51
N;15104167;14;1;0,25
N;96729647;15;1;0,45
N;34539066;12;1;5,25
N;44509736;13;1;2,51
N;52989859;14;1;0,25
N;81255252;15;1;0,45
N;83095184;12;1;5,25
N;57600542;13;1;2,51
N;53197944;14;1;0,25
N;61124010;15;1;0,45
N;59393214;15;1;0,45
N;63356014;15;1;0,45
N;74367042;15;1;0,45
N;85983916;15;1;0,45
N;64248702;15;1;0,45
N;87215104;15;1;0,45
N;59039485;15;1;0,45
N;86252655;15;1;0,45
N;48128931;15;1;0,45
N;66120732;15;1;0,45
N;68130469;15;1;0,45
N;44594353;15;1;0,45
N;49382848;15;1;0,45
N;36778114;15;1;0,45
N;90259569;15;1;0,45
N;15104167;15;1;0,45
N;96729647;15;1;0,45
N;34539066;14;1;0,25
N;44509736;14;1;0,25
N;52989859;14;1;0,25
N;81255252;14;1;0,25
N;83095184;12;1;5,25
N;57600542;12;1;5,25
N;53197944;12;1;5,25
N;61124010;12;1;5,25
N;59393214;13;1;2,51
N;63356014;13;1;2,51
N;74367042;13;1;2,51
N;85983916;13;1;2,51
N;64248702;13;1;2,51
N;87215104;13;1;2,51
N;59039485;13;1;2,51
N;86252655;13;1;2,51
N;48128931;13;1;2,51
N;66120732;13;1;2,51
N;68130469;13;1;2,51
N;44594353;15;20;0,45
N;59393214;12;1;5,25
N;63356014;12;1;5,25
N;74367042;12;1;5,25
N;85983916;12;1;5,25
N;64248702;12;1;5,25
N;87215104;12;1;5,25
N;59039485;12;1;5,25
N;86252655;12;1;5,25
N;48128931;12;1;5,25
N;66120732;12;1;5,25
N;68130469;12;1;5,25
